Best individual,Fitness value
"[-0.9969284657853038, 0.006137284813911042, 0.0049423589681208135]","(1.008046055001234,)"
"[-4.207445981048615e-05, -2.6393088747889123e-05, -0.99485325123488]","(0.9949617487841671,)"
"[-0.9947303492357611, 0.00011176262239239738, 9.257836545955195e-05]","(0.994973569560333,)"
"[0.0002187640866572349, 0.00014332006189869808, -0.00034299977083191335]","(3.691028342167613e-05,)"
"[-0.0012518630714077844, -0.0011858245314153512, 0.001381337400551612]","(0.0009684326371335317,)"
