Best individual,Fitness value,Design constraits
"[1.0649376842759852, 0.5274739017619168, 54.98678547477492, 63.13433282311813]","(6600.711580863779,)","[-0.0036927246128293234, -0.002899968332564007, -105.11576448194683, -176.86566717688186]"
"[0.941976604144785, 0.46570670240224976, 48.76194161627594, 108.48214824358085]","(6233.458430241781,)","[-0.0008711309506592713, -0.0005177793829773125, -4.477706987410784, -131.51785175641913]"
"[1.255586204779247, 0.6202904366274699, 64.95797903452582, 11.156679602807413]","(7307.662723199551,)","[-0.001897209412898615, -0.0005913166380935309, -10.693977101705968, -228.8433203971926]"
"[1.1515905851994432, 0.5821448276414029, 59.62158044823996, 36.559330385192574]","(6964.072601747609,)","[-0.0008940825484118342, -0.013354950165193613, -44.28048131708056, -203.44066961480743]"
"[1.1509115283872478, 0.5697590653481517, 59.62082794726138, 36.56043643314634]","(6882.756051947698,)","[-0.00022954900510296916, -0.0009763667312780999, -12.712222769856453, -203.43956356685365]"
