Best individual,Fitness value,Design constraits
"[22.87708278414881, 20.139211797334006, 199.55583677269982, 76.11061177931742]",3840488.5146055724,"[-19.025655134435706, -18.23544911452245, -41513463.73980889, -163.88938822068258]"
"[23.883419839823897, 45.38576392044337, 69.13153835518514, 88.45909721212843]",1418710.2093154644,"[-22.549181149568824, -44.7262490445349, -1416082.9739057822, -151.54090278787157]"
"[33.855556854358355, 78.24318406489803, 107.3662983700608, 123.09965423531213]",3247991.721729545,"[-13.512301761429256, -34.40084737764279, -32745687.902581558, -76.73978034916402]"
"[23.76851966210843, 95.17304100970712, 151.87022953746643, 33.60649116006225]",4159084.69244887,"[-6.012008532518224, -93.7241990199197, -14362501.585397359, -226.39350883993774]"
"[14.491673974827046, 50.64811859129522, 72.91194836672481, 158.53924250709554]",627027.7349586956,"[-13.462711448488704, -48.195759350792386, -575875.2477895778, -101.46075749290446]"
