Best individual,Fitness value
"[-0.06700641822896458, -0.19880462514630579, 0.2147604080757581, 0.05019884614920403, 0.12284630570910757, 0.14997043424378462, 0.22490750936386314, 0.179651038473077, 0.1351673974989371, -0.058743941391390275]","(25.495297882256175,)"
"[-0.2053332389509084, 0.11602006311614654, 0.03390222984695278, 0.025756763452316124, 0.021784101105243016, 0.05353825824597864, 0.02488589833271195, -0.020065334535487006, 0.0673181061372102, 0.09244301293215862]","(11.116622732370455,)"
"[0.07863605087775824, 0.010427845371900054, 0.015248506073170983, 0.01024275153363434, 0.007166202210048387, -0.020534109640584212, 0.0116711573952059, 0.007559569338837225, 0.005201034770566755, -0.015786249675772055]","(8.88400834806162,)"
"[0.8470228401250282, 0.7020736036743428, 0.4543209231781104, 0.14219564427337592, -0.017809299726071124, -0.02848704051831083, 0.051684646975495324, 0.02193667095765775, -0.021802012489219102, 0.011622613299834668]","(7.309901883672178,)"
"[-1.0753595323282275, 1.0331474738716138, 0.9114060144368498, 0.672124835650645, 0.3597173464200634, 0.09408180425715305, 0.11803622779723795, 0.2799402099947785, 0.1739227920846708, 0.08729603943541503]","(24.57704628288566,)"
