Best individual,Fitness value
"[0.19159678683437792, 0.04281425563859255, -0.12243031906333017, -1.9720422475768933, -1.9300720220752294, 0.3946473210803673, 0.08246414222941721, -1.9946304067704916, -0.9608440786842215, 0.8861292577210561, -0.08255319525570916, 1.9191881937560415, -0.09242727222367159, -1.009902843866142, 0.03434975244573907, -0.9980949882754743, 1.9123915586664622, -0.9830030741086113, 1.9881804363071183, -0.012111920418130223]","(66.51949806707155,)"
"[0.05049131753891847, -0.8774656731896362, -0.14951057507698295, 1.0128349160195185, -0.0681441114869542, 0.030592853449961772, 0.1683914361106838, -0.1974715884229708, -0.981117204377219, 0.10288132669025658, -1.1514686413578368, -0.8337843634892147, 1.1792026321703544, -2.0275277199826878, -1.188029825251757, -2.064599995025334, 2.0101885794839744, 2.0186444232680936, 1.0275855554487117, 0.059012309511176385]","(70.66903767656757,)"
"[-0.034163069600941905, 1.3622051183685469, -0.14293969969204293, -0.9162183257037625, -0.999682484948179, 0.06607544315762573, 1.9456251219780205, -0.7626692774205196, 0.8779797518732194, -1.1680670086824674, -0.9652707930608574, -0.035892795337109394, 0.16986760679949456, 1.0317498486458605, -0.9524978424975451, 0.053568932649030024, -1.0211147159197151, -0.8318816870649329, 0.9997177483604073, 0.1437211703358489]","(72.0952278256495,)"
"[1.4883854569603208, -0.9779142695526193, -0.11406889445637117, -0.233293222381625, -0.133331769075957, -1.1045239111362568, 2.1451883763818156, 0.7158526665764227, 0.08973969559538204, -0.9479755409526887, 1.8702451626032361, 0.9799644132113822, 1.1016614637519648, 0.9316208020408023, 2.9215877777805144, 1.0663752582065653, -2.069785447112734, 0.9915383316714785, -1.7709011238215338, -1.882464577189173]","(114.02013058097997,)"
"[2.1069763875629612, -1.041584093693738, -1.032412853027144, -0.013712843980130656, -0.047272327593820274, 2.9442753617220863, -0.7941835211114998, -0.9250740787411507, -0.30155109405302793, 1.1266514538441075, -1.8601413632546422, 1.009072710024732, -2.0313579897546448, 0.20965731109920702, -0.11048491384311906, -1.054890061516348, -0.9452359279010131, -1.565397502567551, -1.0903761767414721, -0.2123269686306484]","(103.99748708186192,)"
