Best individual,Fitness value
"[1.9912890382928892, 1.988136573429119, 2.0015164532958933, -1.99758664111284, 0.0006250156509826299, 0.0014808657613260819, -2.9823425905093393, 1.9961456782304055, 0.9922842599438013, -0.9948589058807895, -2.9752515361828746, 1.9957121624305243, -1.9918152770976725, 0.03728757434400941, -4.201989047457214e-09, 2.9802758629544055, 0.9843724719782565, 2.981755695136349, -1.0046614724805905, 1.9867940157601816]","(72.03610526639491,)"
"[-3.9797603307194938, -1.9922059140324848, -0.0011038123648024957, -2.9778811567792394, 0.014437173354923838, -0.007705080364352685, 0.9801352291794523, -0.9719494942928721, 0.00570663240111302, 0.9949586349162667, 1.9036114052266921, -0.9792757534281403, 1.0219999243509872, 0.990564865497465, -0.03473989551724944, 3.0021894740887785, 1.0268753550357543, -3.9436352521513, 0.9999083060836482, -0.0075620806330396586]","(68.27499343161443,)"
"[2.9535086860887945, -1.9897126564878522, -0.9949586388642598, -3.978690127940307, -0.9940448205936574, -3.9699663737013497, 1.9669869017898574, -0.9500838490384486, 0.005916454935233899, -0.00021786045265505095, 1.988915060361858, -0.9949574516714568, 0.021330351785770904, 1.990929040392502, -0.9976137978325073, -0.0036314047378959544, -0.0010609064049850645, -0.009434076652877144, 0.9083482220442087, 0.9915896489405868]","(65.95231007823936,)"
"[-0.013546820431019731, 1.9904668516855177, -1.0263309745836298, 1.0265923296694786, 0.9949584628310881, 1.9899638751184383, -1.0258823295112787, 1.9172234373123043, 0.005633405154770112, 1.021132067055126, -0.9958712292408471, 1.9396342653042185, -2.97002280750146, 1.0459778079540132, -2.995976580004644, -0.010045412444278918, -3.979783861206381, 0.9770884518915841, -0.018623230166551163, 0.9908054436134764]","(61.711526060291774,)"
"[5.973193812194359, 1.9835568561990555, 2.0281357052699334, -0.014810800192047013, -0.9912138384832554, -2.9916352367311143, 0.9956967115612221, -3.9865229213872864, 0.013756026989257387, 0.9938153364557609, -2.9848557014959565, 0.9951368150837131, 2.9924069881003628, 1.9951767728104373, -2.988932649785021, 1.004034629142429, 1.9470818264918246, 3.974477051125007, 0.004536733011124696, -3.144783789695474e-05]","(125.17610368125679,)"
