Best individual,Fitness value
"[-1.0363175558658113, 0.543260513825961, -0.23040223963626816, 0.21910993683250102, -0.45752279653711925, -0.15014820258043277, -1.8450063896218913, 0.591941516180946, -0.5123121119500025, -1.1834806592679987, 0.34110593422648594, -0.2754127068056231, 1.2582889653858844, -0.5118359454098313, -0.4814801056246294, -1.27340820842837, 1.3538557448859225, -0.2015627427544071, -0.38017155935101676, 1.0078551329375136]",1565.5306623378317
"[0.03153541789764269, -1.2367904692810867, 0.39318196741875966, 0.5919236177550414, 0.8363222637423697, -1.1833409658552387, 0.866169160090096, -0.6489297161258416, 0.09656337435688789, -0.515207570418333, 0.03504405166933244, -0.328107589794197, 0.05448566279775213, 0.06384594782408115, -1.4113861174518578, 0.5781037294272106, -0.26004616809722836, -0.3054611089177456, 0.03251982966174449, 3.757358362312411]",1841.155803007151
"[-1.386243797827674, -2.3170697087847607, 0.8822879475776766, 2.290488352305994, 0.25031448801032674, -2.8114727654907803, 0.9491443071762911, 3.103633838790131, -2.376543557750739, 0.5117778004778902, -3.921116515173673, 2.6370907596923674, 1.5010055299947687, 0.9943408301161649, -2.0801789980257532, -1.6005914576363263, 0.047551958138568384, -0.5211192472514699, 1.8176427264652264, 2.6907361649175434]",33350.09832442337
"[0.6161058375163659, -0.350083263197895, -0.005163942988119952, -0.056694222421891816, 1.147654189206285, 0.21639183299776643, 1.1720654771444798, 0.6524561823206132, 0.8468795206642306, 1.3474023382415525, -0.740211210667858, -0.45454522194019076, -0.10954542118525368, 0.37924496210577374, 1.3962738660922254, 0.24464224628077896, 0.529232134135751, 0.30332178446352565, -0.7762869876629019, 1.22491427418854]",867.1823044675032
"[3.8383992210735656, 1.5743650044793158, -3.268226740320724, 3.7004735906908657, -1.2320975279503257, -0.9083811472211263, 2.569292676971539, 1.806583737148891, 1.8090079396496241, 2.5050129993976276, -0.36060508912262357, -4.042188211636479, 4.8682206783411015, -1.9860764759085536, -1.3725318904261474, 4.433026364466837, 3.2442176673378924, -4.91619303331868, -1.1063228734426334, 2.2489054528381853]",1.7976931348623157e+308
