Best individual,Fitness value
"[-0.027921593045047377, 1.6749134617920443, -1.2541791567426657, 3.3672935584376296, 1.5772878116470088, 3.161508925123691, -0.6723822345867325, -2.45310394317443, 1.650882977852249, 1.192850067156149, 0.42958796057644255, 3.7186075822532993, 2.5489697935137006, 0.6356952813647396, 0.8962911814422138, -0.8848515740790903, -0.08525294681779233, 0.8565934959409844, 3.6488398986842627, 0.3093160296584534, 0.47001349834794914, -0.13138467144110266, -1.9200820242147045, 0.6712784652611739, -2.6389877822610863, 1.5307033506793575, 1.5297226151498884, -0.05265354571723063, 2.2445004231585273, -0.5042203894643018]",48831.55124944767
"[0.23391169791047317, 1.2962344176337446, 0.9290159262796642, -1.6526777148446072, 1.9067968529626507, -2.6058992875068294, -1.7557693439208713, 2.832703535006127, 1.0824216291353117, -4.64722222586979, 3.159595353876091, 2.034148614995937, 1.173493406664845, 1.8258622981637602, 2.068132292510839, 0.7881903384068591, 1.6501590730071358, -2.451384573382701, 0.5296668292222044, 0.04036575739465885, 3.6862483918218008, 1.909514886864585, 0.5451533392194912, 0.47511501032795234, -1.745269652127138, 0.05421904803788946, 1.159671902042425, 1.5127082743842757, -1.5368361023013084, -1.7677010706809653]",65537.58283759726
"[1.0259302559642252, 1.3008855176463205, 0.3575133775912608, -0.9364317300711045, -1.401092658828609, 1.8468281017735733, 0.6373199332555186, 1.8079291744487662, -0.9071123213857424, -0.9803706784410293, 0.9846035972891422, 0.9849484574028282, 0.7434760602819435, -1.1711464105831995, 2.2490563172345057, 0.35878695163366514, -0.11483325507971442, -0.8024551920271121, 1.2089921517270237, -0.05546585209697685, 0.053417904507322755, -0.8004931165662024, 0.3892215366691353, 1.4781891770363447, 0.6317373283486241, 2.2166835015307544, 2.4836086715622647, 0.44692509225854005, 0.7025717354826524, -0.8661066268322126]",4893.434172158168
"[-1.0735051098518764, 1.069556597092578, 1.5745295236330237, 1.5513230336469492, -1.8355146138031464, -0.0793368288927383, -1.7207302911729265, 0.1285754262788874, -0.3085754362501796, -1.4551834378235822, 0.05578691187868068, -1.0742767716395858, 1.9250327118261286, 1.3569792414699173, 2.039709790929882, 1.0135286669838088, -0.6699419161783693, -0.04168862199427503, -0.16244406168686631, -1.0778356301743006, -0.06406042562981995, -0.5403674332668424, 0.37008447961342605, -1.5006957416195783, -0.5817877168999903, -1.3789105066766592, 0.20283898450586757, -0.7788100234455384, 1.2144727231147434, -3.122015493958338]",7989.517525284497
"[-0.26712777035502344, 0.28342770546693463, -2.0002271745623106, 1.5459026306509767, 2.7783440256154948, 1.0903456118866588, -1.0502472803198395, -0.18175712581506676, -0.9393673974619003, 0.7193438049558194, 0.17279604901351986, -1.6112371592641779, 1.7465999952045201, -1.1388795904571176, 1.4922199714548967, 1.3914604968131115, -0.21393216051361436, 0.47783528906910777, -0.26361633747199775, 1.6348500966903452, -0.985205915562293, -1.1991287709452276, -1.6529083618659348, -1.021045184119271, 1.286950749738169, 0.11958544147361672, -0.8794669120762014, -0.24275772078804247, 1.206764650083232, 1.4318739214123102]",9407.318501040527
