Best individual,Fitness value
"[-1.321885452875943, -1.122333868503139, 1.4605876426349491, -0.5849486666103938, -1.5994839882400385, -1.6209573907912813, -1.5428024011628023, 1.053243581828577, 0.3430008047987527, 3.4531819670698627]",58.770311351816176
"[-2.550842700810903, 0.49881856421083653, -0.7582652081996859, 0.46618907973482904, -0.39702098111019146, -2.2718346374482765, 0.503271439845663, -0.6030960229309086, 1.915443758428675, 0.828670753955199]",48.761967419236214
"[2.3091691145523634, -0.4313760121171448, -2.3517192319177944, -0.7987369226446929, 0.4797080786166861, 0.4523400497979422, 1.4320463555930534, 1.4279990319508313, 0.6976398906843735, 1.5081419072225692]",63.99794388497215
"[-0.41234786109237953, -0.48812585594920554, 0.019095931861399157, 0.27028600072351716, -0.5159224330811264, -0.7490068505482659, -0.3519151634383534, -1.3256199939414954, -0.47654706074359066, -2.158464002051478]",44.026253379225395
"[0.24416962215880944, 0.6025148252984464, 1.3546446446115006, 0.6626114124058282, 0.47946260983966454, -0.6836373380503291, 0.7774437761959483, 0.4891166308878421, 1.7498955872798971, 0.5735038337997316]",53.1779389182689
