Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"(5988.981926590388,)","[-1.1102230246251565e-16, -5.551115123125783e-17, 0.0, -122.87802999021751]",4,0.0,0.5,0.5
"(5988.981926590388,)","[-1.1102230246251565e-16, -5.551115123125783e-17, 0.0, -122.87802999021751]",4,0.0,0.5,1.0
"(5988.981926590388,)","[-1.1102230246251565e-16, -5.551115123125783e-17, 0.0, -122.87802999021751]",4,0.0,0.5,1.5
