Best individual,Fitness value
"[0.11423477681742414, -0.13803186247606777, -1.034206768758788, 1.066436434234455, -1.7937532619378158, 0.030039993030579793, -0.053611972777782804, 1.1722470131032232, 0.8410883225503518, 0.13956504380220977, -0.8434723866838407, 0.9590602392101211, -1.0294317103862467, -2.277772619576652, 0.15148687973438874, 0.05060470885898543, -0.03839711724398635, 1.1445008220728687, 0.9531218128070328, 0.8569220477718792]","(76.76374788623777,)"
"[0.977549819423523, -0.16189766606661132, 0.9031982499339263, -0.06541557660903785, 0.07207539178173095, 1.0598952532002084, -1.7922462644665873, -0.4148052228611568, 1.0193415341285232, -0.014849069310720506, 0.02051593970473657, -0.05889911406225573, 0.0071229618217566945, -1.0188886693046282, 0.9889468855249611, -1.8013270740874017, 0.8577198080610237, -0.9928356821691652, -1.9151685790727029, 1.9737950565752576]","(70.13959217603893,)"
"[0.7548154892205771, 0.6493891738851265, 0.9435017803448844, 0.9562024892737789, 1.7814715512021941, 0.4869470634755696, -0.03161331025832172, -0.09938027365024954, 1.788147472138148, 1.0214917892778053, -0.9517114955328667, -0.9830245824483823, -0.9947072389538084, -0.9533546943673377, 0.0022163106843467967, -0.8904131922146433, 0.044623642758617195, -0.818474250958037, -0.03981069730171371, 0.031563524899317824]","(90.05656177545144,)"
"[-1.8285808856635144, -0.12229598170148588, 0.02164063878932198, -0.02242437793345542, 0.8983735303393687, -0.1303107363140804, 0.015581191568334627, -0.67461365447305, 0.9323032245442886, 0.8029389370735074, 0.9290461927570808, -0.8404125278104427, 1.154382743918096, -0.12589813751288043, 0.07405127807277508, 0.5772703889866301, -0.8683135213439216, -0.1538797536087564, 0.9979850071116423, 0.07043773309352992]","(88.1627327532197,)"
"[-2.046191893045645, -1.0844261216543547, -0.04777478469155408, -0.9636089227171126, -1.0058047959223635, -1.0670157036287935, 0.888278328773083, 0.15292823148825757, -0.019411103217273865, -0.30629866123049904, -0.6981617400278629, 0.017730266959039207, 0.06694953873738849, 0.9978886050090411, 0.14303373584054863, 0.24073592008159175, 1.0265465716977211, 0.9285680027496112, 0.8200534121319546, 0.0637166703842859]","(72.04973409057946,)"
