Best individual,Fitness value
"[0.8584170935298636, 0.8259373086377224, 0.8140246107205483, 0.6373318482952508, 0.4282534481313385, 0.2302537178312114, 0.07097028167502457, 0.140058010242764, -0.23776506515115367, 0.04171178213549162, 0.009004220550117509, 0.16805660974850084, 0.21557504840610134, -0.05199173989630472, 0.04358384079902473, -0.02590981030098287, -0.16003740158136057, 0.37888768868199435, 0.291122203693405, 0.08581602557720742]","(48.94283535594948,)"
"[0.6189131743553319, 0.45722424192273076, 0.17568531956936426, 0.09580511075762771, 0.30644088285715765, -0.1197809766489892, 0.48804132089461577, 0.4295650748160175, -0.09444212420981349, 0.04856641309128529, -0.16646607686880804, 0.03906064814720748, -0.05922389668841247, -0.18504374397985177, -0.031149348070702004, -0.5940555156468702, 0.7820355256321847, 0.943145694184531, 1.0600254472489061, 1.1588527495942298]","(138.41855051683282,)"
"[-0.05697333438425908, -0.1788068112374788, 0.30796306788472094, -0.09092016910061776, 0.3252275895200319, 0.09120380095011656, 0.08135114949879899, -0.2346890644642341, 0.21650510702214637, -0.08265174114806077, -0.018253731388689354, -0.6536720677798977, 0.6916104628033424, 0.5242414095169128, 0.17435836735130236, -0.3156801101819064, -0.24369763669593042, 0.634237895001692, 0.7579247670228025, 0.7955832455801916]","(178.33932174475143,)"
"[-0.29081454655775046, 0.2125480144374196, -0.1722004780794273, 0.291584685328707, -0.04293694162989132, 0.2715359274703736, -0.024694716364465467, -0.3740270965836715, 0.2655066510619807, 0.13696022604656896, 0.2486337432859409, 0.3323639877190789, 0.28265987629243056, 0.33161241947259346, 0.15602571995020956, 0.012689967440609528, 0.16935129134146878, 0.2778531137784742, 0.06020969099768199, 0.2009873689167624]","(90.04039191483083,)"
"[-0.1685972002267701, -0.045278716905037895, -0.0339834195148245, -0.10910664949169098, -0.35268848544884257, 0.5769427088563791, 0.6248607742419001, 0.5680473272146682, 0.23667533563749474, 0.01358794553651298, -0.1638010757559565, 0.21319444967106313, 0.6425200127573725, 0.8637351816734116, 0.8694163221378649, 0.8384565853131619, 0.7616818408022296, 0.6296794569972312, 0.3722716939999207, 0.10663751928464096]","(124.7591566799427,)"
