Best individual,Fitness value
"[-0.5799905904704458, -0.614608894388962, 0.7381545692145215, 1.2317891086809145, 0.4535323306815956, 0.9072971372668233, -1.7211332977882987, 1.3248168511968497, 1.2112064576374317, 1.8171342974291904]",616.2834177276663
"[1.699224283068929, 0.5912787330148523, 1.394281134486651, 1.2325046374799813, 1.4427116331335021, 0.6716847255898023, -0.6285291198350981, -0.2881557457533581, -0.21975327778520626, 1.499551476637963]",182.82352838976564
"[-0.09086714695150888, -0.15907584095744143, -0.12227243249378172, 0.2011147029555428, 0.5087715208742911, 0.5042674780827836, 0.6238564666615607, -1.1789039974630269, 1.8597929517553649, 3.877599173651705]",217.6810377110924
"[-0.8389334704466158, 1.4468323718737919, 2.2905727547308508, 1.5531215133430405, 2.2032104941305204, -0.10682291833406499, 2.4580395055096704, 0.846024264737308, -1.7965959213182636, 1.1375447036506787]",4252.239679278351
"[-0.519403956640496, -0.5820091219136403, -0.11766646331877773, 0.6309848329331625, -1.0592699680495317, 1.197558690688225, 0.25295886001601564, 1.3065902848081963, 0.04302381005461031, -1.7744745883430286]",397.7042407024883
