Best individual,Fitness value,Design constraits
"[55.59976198110806, 46.963839852340094, 124.00703366083172, 169.71109821073247]",5549463.768054787,"[-21.982392530004766, -13.467549576209237, -29813641.392008588, -80.58431682534348]"
"[20.23383612338947, 69.36417693265841, 118.9603645025243, 139.12373440388757]",2325117.5691584465,"[-27.400151620247524, -78.9179471857083, -1822336.685335137, -111.4429024404599]"
"[42.38326592116795, 9.132146653192642, 169.3059162415934, 142.86734324370636]",2619477.9393628994,"[-10.79299844342075, -45.008718382075465, -16335868.00426362, -105.04271069258968]"
"[23.930806384316156, 37.26634291942419, 152.65903839405382, 186.38667438562055]",1669780.2080507162,"[-0.9844869433109156, -35.809975693144914, -27252537.206947856, -53.61332561437945]"
"[22.58056946706048, 22.74530378025095, 55.41555566717286, 85.45314030393206]",889286.9156327298,"[-21.511049242684045, -22.21663937918612, -241232.52064525778, -154.54685969606794]"
