Best individual,Fitness value
"[0.00037979172769652715, 0.003244261283797549, -0.9970142745314492, -0.0005765490768082204, 0.00018505859238850206, -1.9895987015874013, 0.994846115557791, -0.9945358962826595, -0.9948607215446024, 0.9937131811849431]","(8.958020770603378,)"
"[-0.0002608595986335685, 0.9944650711914803, -0.0008618465533003147, -0.9946726875532396, -0.0010996555394033347, 0.9938031140440565, 0.0003363050510660909, -0.0015345086674464314, 0.9953670746368996, 0.0025474421635649893]","(3.9823763597725907,)"
"[0.004191826396981158, -0.9921571401211781, -0.994883911688356, 0.9955559760737106, -0.9957718953706195, -0.9944364491189883, 0.9949117863438541, -0.000264181727632571, 0.9955004507966251, 7.869310990338621e-05]","(6.970085991783714,)"
"[-0.000938925343160724, -1.9896603296148654, 0.9934214512656216, -2.9852981014953874, -0.9947711671164807, 9.467700853717405e-05, 0.9944304155550546, 0.0010251109451429644, 0.0007306024107005221, -1.9898696372487572]","(19.90021422657243,)"
"[0.00031713792598232304, -0.0007959833202679, 0.9959666530752079, 0.9935374974809315, -0.002782607020610465, 0.9974738115700039, -0.00033175504228314875, -0.0031935873331486106, -1.9908312766919956, 0.0009709777826223361]","(6.970646114221138,)"
