Best individual,Fitness value
"[-0.7431552590411555, 0.7197296601242186, 0.563377084540098, 0.2565235887259773, 0.10048041601172467, 0.08468818862099683, -0.0677998631739558, 0.1388741312310736, 0.08863910526308323, -0.03971250922315648, -0.0365024251963887, -0.010172912670062548, -0.1814514818396835, 0.15779157621076975, 0.0030315757468458325, 0.34270797188034724, 0.23852661991479535, 0.015426979563480301, -0.03137927078291163, 0.13564507585885144]","(45.025913986687335,)"
"[-0.06603148428742842, 0.05993731761438475, -0.19515874215319098, 0.12175301152150961, -0.05662849193211609, 0.23832348792965516, 0.21864877713834047, 0.1147241259469294, -0.033929584638365325, 0.014786447850415947, 0.06774821225859524, -0.012791010341185936, 0.006480546161574842, 0.23077982878253436, 0.10754762437279342, 0.08888455868649082, 0.2468855282103377, 0.18110065732655925, 0.08544466063674455, -0.011948262800876104]","(45.00600648492094,)"
"[-0.009774285193107994, 0.04548942876159122, 0.14578961411125174, 0.17702426333782834, 0.1731731462295023, 0.16123959615796996, 0.11674621528674324, 0.16710452825520716, 0.01479640284293688, -0.1042199966348028, 0.0947480953774206, 0.053890127431280604, 0.049655665423440055, 0.018950390149374354, -0.06291976573784308, 0.1356440979045213, -0.06571878579248434, -0.09760383681692836, -0.13784597724412825, -0.17911592311831964]","(41.329347460814155,)"
"[-0.4973393365454565, 0.19854818776480193, 0.030662144750584097, 0.005581952808030633, -0.01101934467722196, -0.13678191692130884, 0.016598586967149546, 0.08120885518834536, 0.17391102599715522, 0.09555758248985873, 0.003702409910276481, 0.10493675012749465, -0.17596932033704055, 0.12277838281522697, 0.2515600900407919, 0.1578904645384351, 0.12564351726529668, 0.002682552187090165, 0.14887232579860202, 0.22010769650266837]","(43.25032216408877,)"
"[-0.13515069197212906, 0.020013218032332664, 0.022885411588072342, 0.1272871319906123, 0.22070122371860337, 0.1664427538922937, 0.07785052763017841, 0.11869357914924529, 0.2568666320112103, 0.0626022146517444, -0.26015157299999325, 0.295533989615256, 0.3985604242469344, 0.39459815058857833, 0.13514845696332173, 0.08977788359927125, 0.35647236124035425, 0.475276287835377, 0.32959617264039387, -0.02027188269941275]","(83.45778961727986,)"
