Best individual,Fitness value
"[2.5909256845684334e-10, -0.9949586379539895, 0.9949586387238779, 1.1037460182551788e-09, 1.9899122324742593]","(5.969749304740667,)"
"[-3.188906146268355e-09, -2.3285021246435896e-09, 0.9949586384164166, -0.994958636195939, 0.9949586380652777]","(2.9848771712798694,)"
"[-0.9949586367226, 1.9899122322995757, 0.994958638763638, 2.792544683978401e-10, -0.994958637509429]","(6.9647083618339565,)"
"[-1.1000984788968875e-09, -1.7608901401384302e-09, 0.9949586366952666, -1.9899122331732735, -0.9949586370280493]","(5.969749304740667,)"
"[1.6845297054567514e-09, 0.9949586386824749, 0.9949586353731658, -0.9949586374698032, -0.994958638723291]","(3.979836228373159,)"
