Best individual,Fitness value
"[-0.38965000137823336, 0.20685035661529994, -0.49512036389606284, -0.7754228847299203, -0.115756657023806, -0.2808461455470379, -0.3265525246628056, -0.4171713208237411, -1.7061141977197651, -0.43279417457830904, -0.557748905957952, -0.5760704468942714, -1.4618428986493506, -1.335061232135845, -0.534792547652617, 0.4622349402206938, 1.357624587145561, -0.0652265563338923, 0.4447031030600992, -0.2703988111229694]",118.36160778690855
"[-0.46769420810605533, 0.5048328886483784, -0.7015063388102118, 0.41431483887629134, -0.40436206623979737, 0.37425151330082945, 1.4982003220603863, 0.11710615333445709, -0.27938983400883727, 0.21525225678278084, -1.6028490864663132, 0.9837926406559456, 0.3287254404115633, 1.7949449243094466, 1.285129325056885, -0.5938847734474332, 1.6276477993519418, 1.8096333916867735, 0.573947008694587, 0.45094225852705416]",141.9497061321945
"[-0.370467028505005, -0.4193334764184008, 0.8121702927317511, -0.3009612508192836, -1.050525769933972, -0.3756114014999805, 1.04731658659789, -0.5315474196496188, 0.43359841094226936, -1.4954656837129758, 0.6062754081261961, -0.5899353780147962, 0.793803028371124, 0.5298066447390548, -1.0307902968790046, 0.3548339333789609, -1.7733222230452284, 0.4896202874400414, -0.7028627509898637, 2.731656612456173]",142.8814414400912
"[1.2570663584001966, -0.8194815462918437, -0.409112128164552, -2.0478275596069855, -1.760777067237768, -0.9611760411823649, 0.8411051620257237, -0.5722673683799115, 0.7010839310120891, 1.31533779526507, 0.8508232902910706, -0.7747618443059248, 1.4505144737563833, -0.5264819535079268, -1.6912011647462406, 1.4758704518861838, 0.46829177011360446, -1.3026104832290524, -1.6163389924819511, 1.5907367591134745]",155.23768621943168
"[-1.3013582487262636, -2.3424763877441928, 1.368462259970156, -0.5579933989465772, 1.7368792724079687, 0.8794244845145708, 0.46426028088282356, -0.5042862268114732, -0.45178437289559975, 0.6481121301404797, -0.5158391992076645, -1.5329958232908119, -0.32822445564832015, 0.7128218678053782, 1.5046001819911279, -0.6715545181921765, 2.18291570136955, -0.4533049647639693, -1.332591680166746, -1.3183797577928367]",114.81252769847042
