Best individual,Fitness value
"[1.7292679785334766, -0.5357579907556309, 0.6032227937694712, 1.4428915611723587, 1.5179185498318755, -1.1087945583472527, -1.3111959754061377, 0.762070127445565, -0.6178024747811115, 0.39355231685541736, -0.4401082099309932, 2.3513887149712636, 0.7507458043369817, 1.2735360414711177, 1.5903664781607527, -0.559123251210438, -1.796066650799971, 0.41713358573450443, -4.2588254886769334, 0.5031402263463857]",143.20105497299127
"[0.32226335757125496, 1.6873415928477415, 2.555938693760433, 0.10465352710807668, 0.6924349717491906, 0.5655487694011553, -0.6218656661824989, -0.2793378903939706, -2.2263182510446358, -0.9424505574203084, 1.4028485938550592, -0.4575577938756612, 0.23115331502327163, 1.5208732278130959, -1.5092891209278245, 0.22629541842521667, -1.0705557940811392, 0.24214555833983242, -0.6056699154328907, -0.5982383986216762]",150.33635906696315
"[0.5401800915624466, 0.4864859507666963, 0.5566996746857034, 0.24614639900809188, -0.13234196768964201, 1.4184813305148203, -0.7301340085866517, -0.19649633332120042, 0.7125121645400131, 0.6026313585329941, -1.2472041416783584, 0.7181874395404344, -2.5082038944040432, -0.45682513536719116, 0.42551839001265496, 0.8396565424251543, 0.5362549718592625, 0.1883142867855344, 1.010952429946162, 0.4633935041919719]",137.79720779693494
"[1.3794488056883112, -0.6953388517013316, -1.3142654695317928, 1.7029610873131347, -0.6238427268976947, -1.2640827657243063, 0.35663772827242934, 0.217852302161206, 0.4368513073548006, 1.0185149591520999, 0.11381572249599792, 0.40174526818118794, 0.4867477327298918, 1.1727660875684613, -0.44968477321249245, -0.3113182661597058, 0.9144449541659516, 0.39301539609861036, 0.3847833660128879, -0.5640851321761489]",141.55846964478746
"[-2.587628896733401, 1.5014531304406233, 0.9800523458680988, 0.7851107091210057, 1.8731588255762694, 1.8543100070270824, 0.14808519354104166, 0.41219686869274486, 2.9388089273868796, 0.47411967579540254, -1.3951532726322933, 0.7539357524865311, 0.3471291032842818, -1.6203372342906617, 0.43764971730733254, -0.30282256961791343, -0.4831993290616824, 1.6337891412614116, -2.679410547394737, -1.4096169324362653]",157.22527685092817
