Best individual,Fitness value,Design constraits
"[0.8323553563016424, 0.41277213261326867, 43.09628051698511, 164.6551334412265]","(5992.862455522578,)","[-0.0005971423238296802, -0.0016336164812307263, -17.719323344761506, -75.3448665587735]"
"[1.159540122448468, 0.5753924599368216, 60.04067241502127, 34.383435015579]","(6926.035683734743,)","[-0.0007551448385574311, -0.0026044450975187816, -14.7818408687599, -205.616564984421]"
"[0.8183541391351631, 0.4054954731297677, 42.39168162462612, 173.0381398389651]","(5962.0807929705425,)","[-0.000194683779878857, -0.0010788304308344543, -9.249654072336853, -66.9618601610349]"
"[0.9821292338829918, 0.4842613796726367, 50.705221940995976, 92.85215644277095]","(6345.686123126568,)","[-0.003518450421769348, -0.0005335623555350888, -43.72039879206568, -147.14784355722907]"
"[0.9447971660162783, 0.46847951173368846, 48.885928219909914, 107.44577467794358]","(6248.912830845724,)","[-0.0012987513720168486, -0.002107756515747905, -63.733547556446865, -132.55422532205642]"
