Best individual,Fitness value
"[-0.00021995679209326215, -0.027284014316350302, -0.9914806248102266, 1.0201446430971588, -0.059728723787550585, -0.030261159003742433, -0.03200757282335424, -0.029198894342213226, 0.9559136399863191, 1.0464970924447776]","(6.33116316760805,)"
"[-0.02312452378863072, 0.9639593264287021, -0.03739903429761203, -0.9811196770079127, 2.016924791475639, -0.9489374566539236, -1.0184014174280012, 0.017525551935822843, 0.906496922628303, 0.9456356897885106]","(13.269933508333983,)"
"[-0.0022684396685470074, 1.013324826316228, -1.0437199830067465, -2.013185171361093, -0.0058740127957915425, 1.8824991010061087, -0.9187112733976907, 0.05544917135672516, 1.159307326759362, 1.027422906695267]","(22.64557417950265,)"
"[0.06136655896662186, -0.9757826868759037, -0.1231919426952195, 0.9309807095079992, 0.9449902410254556, 1.0169384398260404, 0.9763158131978186, 0.8283947755694439, -0.974429380725606, -0.9985033396917841]","(18.13421847889784,)"
"[0.9938149594124177, 0.9952566216278852, 0.0108583665751422, -1.0055357234880749, 0.005417369272336354, 0.9903298231597588, -0.9761343215136588, -1.0008116334943717, 0.9848353749590024, -0.0012517320642942236]","(7.118136660668908,)"
