Best individual,Fitness value
"[0.0001526005808067836, -0.00013527382276735153, -0.0011905282822702577]","(0.0002894415491283553,)"
"[-3.8761775326296224e-05, -0.0007324353686452697, 0.0007143800719680099]","(0.000207974651473819,)"
"[-0.00015985460531782404, -4.975906192623185e-05, 3.935258110924984e-05]","(5.868057556313033e-06,)"
"[0.0002682898412073747, -0.00028110524622479514, 9.157286739414593e-05]","(3.162075286233801e-05,)"
"[0.0004555064740895463, -0.00030096865146179633, -0.0006494188863349444]","(0.0001428050883998111,)"
