Best individual,Fitness value
"[1.1205957429179838, 1.8700473029322007, 0.9806506248160973, 0.6610327965651407, 0.9715900115408175, -0.9548185211939503, -0.02474329322779919, 0.9835301434752401, -1.0738834812682199, 0.11211868174475137, -1.0732168047639532, 0.943050808711092, -0.2873049649506595, -1.007306147689466, 0.12516242078064255, -0.9386077016903899, -1.01349405167148, -1.864913219252012, -0.580170219748045, -1.0055972882064788]","(85.33425408580307,)"
"[0.07043821702424222, -0.902939678462201, -1.868371506812828, -0.9514121903735239, 0.051378556014402825, -1.6992752555828885, 0.10835722460780187, 0.054398650086949885, 0.15578004377201551, -0.07719687859774003, -0.03577923998425492, 1.1468539036970447, 0.7797081739021404, 0.8830915107501559, -2.0530573993198034, -1.0099957917436269, 1.1976371190959734, -1.0346248097173218, -1.0590101372531986, 0.0513629983615457]","(71.91760933560298,)"
"[0.12215113279458821, 1.2015909579999953, 0.7896460423596346, -1.7632481378449543, -0.9520269563828961, -0.17895011263143437, -0.21853410985464908, -1.1086532210999935, 0.06638588004300677, 0.3507816103532296, 0.6487090226836593, 0.9947552916772316, -0.009614948912653458, -0.0039522261572136445, -0.07149996547007441, -0.08465567207820315, -0.04517878428126631, 0.11860759413392902, 0.007904366549593046, -0.13073674309423036]","(93.28262379727715,)"
"[2.0658375215244833, -0.8330719436920765, 0.9976200471906661, 2.09977337264476, -0.14253361071003942, 1.1276819910955433, -0.8328242949108694, 0.9798794014485777, 1.9654066174359632, -1.026648811395969, 0.9291160715708227, -0.05111805676650349, 0.8538487670937068, -0.11351147081579284, -1.070908851193507, 0.10719588956504568, -1.8854604963441906, 2.969351833043178, 0.2742598452806768, -1.9437350946570293]","(83.07521860987397,)"
"[-0.12269894730882798, -0.07199640887863408, 1.0055268495174945, 0.08144699872530586, 1.048680355236343, -2.793707678651988, 0.18101301789930854, 1.360752724529711, -0.9992569514059069, 1.221392425581505, -0.08490917515677368, 0.7270491580131485, -0.9081045274384131, -1.018557966589846, 0.8998047916758812, -0.9637378702510566, 0.9648961360563165, -1.0848576536410515, -1.7573510231169256, -0.9958642805933253]","(95.80025755823985,)"
