Best individual,Fitness value
"[4.539497095084358e-05, -9.459852918642671e-05, -0.00024785007139729864]","(1.4371370170351838e-05,)"
"[-0.0010206024614524763, 0.00030039987568445693, 1.169379358561401e-05]","(0.00022458036666073156,)"
"[0.0016579683631250694, -0.0001106808913215979, 0.00022843787357655046]","(0.0005581302063077942,)"
"[0.0002089154684294355, 5.1868926720382126e-05, -6.728766817777447e-05]","(1.0090952169861112e-05,)"
"[0.00016568387646097196, -5.036885175647727e-05, -0.0003455264035316218]","(2.9635138456995946e-05,)"
